Date,Brand,Model,Price,Quantity,Total Price,Customer Name,City,State,Payment Mode,Dealer
45183,Harley-Davidson,Forty-Eight,342485,3,1027455,Taylor Nunez,Leeberg,Karnataka,Credit Card,"Robinson, Clayton and Patel"
45241,Kawasaki,Z650,374175,3,1122525,James Johnson,Rayview,Gujarat,Credit Card,"Russell, Marks and Allen"
45218,Suzuki,Access 125,254643,3,763929,Amanda Flores,Piercefurt,West Bengal,Debit Card,Cox Inc
45269,Suzuki,Intruder,160051,3,480153,Rachel Davis,East Taylor,Delhi,Debit Card,Miller-Duran
45410,Honda,CBR500R,359243,2,718486,Daniel Andrews DDS,North Toni,West Bengal,Cash,"Henry, Hanson and Edwards"
45745,Royal Enfield,Classic 350,86445,3,259335,Nicole Grimes,South Marktown,Karnataka,Cash,"Nelson, Bailey and Shields"
45301,Ducati,Panigale,257527,2,515054,Luis Hansen,West Kimberly,Karnataka,Online,Smith Group
45149,Suzuki,Gixxer,435144,3,1305432,Scott Todd,Yorkfort,Karnataka,Debit Card,Hawkins Group
45240,Ducati,Scrambler,167571,2,335142,Emma Miller,Matthewview,West Bengal,Online,Hunter-Robbins
45676,Kawasaki,Versys,280517,2,561034,Timothy Shepherd,Port Jill,West Bengal,EMI,"Sparks, Baker and Carlson"
45374,Suzuki,Access 125,205935,2,411870,Lauren Christensen,South Michaelstad,Gujarat,Credit Card,Flores-Leblanc
45187,Yamaha,R15,307496,3,922488,Larry Ruiz,Taylorchester,West Bengal,Online,"Ramirez, Fuller and Brown"
45059,Kawasaki,Versys,241112,1,241112,Tracey Martin,East David,Gujarat,Credit Card,"Thomas, Becker and George"
45327,Royal Enfield,Bullet 350,451916,3,1355748,Carrie Taylor,New Shannonshire,Maharashtra,Online,"Peters, Black and Guzman"
45435,Suzuki,Access 125,390653,1,390653,James Shelton,South Kathleenfort,Tamil Nadu,Cash,Miller-Becker
45080,Honda,Hornet,480271,2,960542,Walter Davies,Davisport,Karnataka,Cash,Avila-Figueroa
45715,Kawasaki,Ninja 300,442076,2,884152,Paul Martin,Smithmouth,Rajasthan,Credit Card,Douglas Inc
45321,Harley-Davidson,Street 750,497278,1,497278,Benjamin Allen,Juliebury,Delhi,Credit Card,Webb LLC
45143,Suzuki,Intruder,484144,2,968288,Alexis Frank DVM,Lake Kristamouth,Tamil Nadu,Debit Card,"Hernandez, Kelly and Copeland"
45211,Harley-Davidson,Forty-Eight,272673,3,818019,Sarah Baker,Michaelborough,Karnataka,EMI,"Armstrong, Wells and Eaton"
45233,Yamaha,MT-15,375705,1,375705,Robert Lawrence,Dawnmouth,Karnataka,Online,Whitaker-Arroyo
45119,Harley-Davidson,Forty-Eight,358083,2,716166,Sergio Allison,Port Kennethmouth,Rajasthan,Cash,"Griffin, Brown and Dudley"
45289,Ducati,Monster,442190,1,442190,Daniel Mitchell,Lake Melissastad,Tamil Nadu,EMI,Ellison-Weaver
45432,Honda,Hornet,448125,1,448125,Rachel Edwards,Elizabethberg,West Bengal,Debit Card,Snyder-Cannon
45753,Royal Enfield,Classic 350,230506,1,230506,Michael Sanchez,East Williamside,West Bengal,Debit Card,Pierce PLC
45623,Yamaha,R15,406248,3,1218744,Paige Allen,North Maria,Tamil Nadu,Debit Card,"Webb, Serrano and Nichols"
45268,Harley-Davidson,Forty-Eight,474018,1,474018,Andrew Beck,East William,Tamil Nadu,Online,Brown-Patterson
45719,Harley-Davidson,Iron 883,145810,1,145810,James Lee,Watersfort,Delhi,Online,Mccullough and Sons
45701,Harley-Davidson,Iron 883,80100,1,80100,Luke Martin,East Ericland,Rajasthan,Cash,Sanchez LLC
45744,Yamaha,R15,158069,1,158069,Jeremy Nicholson,Mcfarlandview,Rajasthan,Debit Card,"Berry, White and Rodriguez"
45357,Harley-Davidson,Forty-Eight,342504,2,685008,Paul Curry MD,East Michelletown,Tamil Nadu,Cash,Lucas-Brown
45755,Harley-Davidson,Forty-Eight,99930,2,199860,Cheryl Brown,Olsonshire,Rajasthan,Debit Card,Sheppard-Dunn
